CaseID,Organization,Use Case Title,Description,Org Industry,Use Case Industry,Subindustry Tags,Use Case Domain,Tool/Technology,Outcomes & Benefits,Source URL,Source,From,Reason Excluded,Status
aicase-x0011,Trusco Nakayama Corporation,Digital Transformation with SAP S/4HANA and IBM Solutions,"Trusco Nakayama moved its inventory and supply chain management applications to SAP S/4HANA in collaboration with IBM to enhance stock management and delivery capabilities. This migration aims to improve operational efficiency, automate inventory management, and enable rapid, reliable service to over 2,500 suppliers and 5,500 retail outlets.",Retail & E-commerce,,,Supply Chain & Manufacturing,SAP S/4HANA ; IBM Watson ; Paradise 3,"
• Inventory hit rate of 90.5%
• Handle 2.3 million products
• Stock 390,000 items in inventory
• Respond to 50,000 quote requests daily",https://www.ibm.com/case-studies/trusco-nakayama-corporation-ibm-cloud-supply-chain,IBM,"v2, v3",Not truly AI,Excluded
aicase-x0012,University of Louisville,Sports Injury Prevention via Predictive Analytics,"The University of Louisville leverages IBM Analytics solutions, specifically SPSS Modeler and Cognos Analytics, to monitor training and prevent injuries among its athletes. By enhancing data collection through automation and developing predictive models, the university aims to keep athletes safe and improve their performance.",Education,,,Data & Analytics,,"
• 95% availability rate for practices and games
• Injury rates improved over the season
• 92% accuracy rating for injury predictions with no false negatives
• 20% reduction in data collection workload",https://www.ibm.com/case-studies/university-louisville-sports-injury-prevention-predictive-analytics,IBM,"v2, v3",Not truly AI,Excluded
aicase-x0013,Cuhaci Peterson,Virtual GPU-powered global architectural design collaboration,"Architecture and engineering firm Cuhaci Peterson adopted NVIDIA RTX Virtual Workstations (vGPU) to enable designers and engineers worldwide to access 3D design, BIM, and visualization applications in the cloud. This allows real-time collaboration on large design projects without requiring heavy local workstations.",Real Estate & Construction,Real Estate & Construction,"Architecture, Engineering, Construction (AEC), BIM, Design Visualization",Product Development / R&D,NVIDIA RTX Virtual Workstations (vGPU); NVIDIA RTX GPUs; cloud-based 3D design apps,"• Enabled global workforce to collaborate seamlessly on 3D design projects
• Reduced cost of provisioning high-end workstations for each employee
• Improved performance for graphics-intensive workloads
• Increased agility to scale design resources on demand",https://www.nvidia.com/en-us/customer-stories/cuhaci-peterson-global-design-evolution/,NVIDIA,"v2, v3",Not truly AI,Excluded
aicase-x0014,1plusx,"Discover how 1plusX built a real-time data management platform (DMP) that collates, enhances, and optimizes customers' first-party data in a privacy-safe way. The system is built on top of Amazon ECS, AWS Fargate, Amazon EMR, and Kafka and scales to billions of events daily.",,,,,,,,https://youtu.be/XqsgQxyZ2Tw,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0015,3M,"Shaun Braun, 3Mâ€™s senior vice president of digital transformation, shares how 3M is driving digital transformation in manufacturing, material science, and digital products. Shaun discusses the success of the companyâ€™s current digital framework built using Amazon Web Services (AWS) and how 3M is accelerating its digital future.",,,,,,,,https://www.youtube.com/watch?v=NGixN9rCQy4,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0016,3M Company,3M Company migrated critical ERP workloads at large scale to SAP on AWS.,,,,,,,,https://aws.amazon.com/solutions/case-studies/3m-migrating-critical-erp-workloads/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0017,7-Eleven,"7-Eleven extends their existing digital ledger and point-of-sale (POS) systems with a mobile-based digital wallet. 7-Eleven leverages API Gateway, AWS Lambda, AWS SQS, and AWS EventBridge to build an extensible, event-driven-architecture.",,,,,,,,https://youtu.be/HcmEFZukA-Y,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0018,8PERCENT,"Hyojin Lee, founder & CEO, 8PERCENT, believes that an online mid-interest rate, loan-based business was needed to bridge the lending gap when she first started the company in 2014. This is the philosophy behind the peer-to-peer lending platform, where she aims to help grow the wealth of ordinary folks investing via the app.",,,,,,,,https://www.youtube.com/watch?v=ZQK58D870f8,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0019,ēdn,"By leveraging tools such as IoT Core and AWS Pinpoint, Ä“dn makes it possible to grow fresh herbs, vegetables, and flowers indoors all year-round. Join Jack Hemion and Ä“dn as they break down this unique architecture.",,,,,,,,https://youtu.be/bQqJpjv-FXs,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0020,Ã‰quipe cycliste Groupama-FDJ,Cycling team Ã‰quipe cycliste Groupama-FDJ accelerated bike and equipment design using Ansys Gateway powered by AWS.,,,,,,,,https://aws.amazon.com/solutions/case-studies/equipe-cycliste-groupama-fdj-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0021,A2A,"Italy-based utility A2A chooses Amazon Web Services (AWS) for the power, reach, and range of services it needs to achieve its sustainability goals, says head of cloud transformation Andrea Fumagalli. A2A benefits from the speed of AWS innovation, allowing the energy, water, and waste services company to harness the latest technology and lessen its own and its customersâ€™ impact on the environment.",,,,,,,,https://aws.amazon.com/solutions/case-studies/sustainability-a2a/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0022,"Accolade, Inc","With cutting-edge technology like serverless on AWS, Accolade connects personal health data, employer programs, and wellness tools to provide personalized health and benefits solutions for employees. Accolade moved toward a serverless approach centered on Amazon API Gateway, AWS Lambda, AWS Lambda@Edge, and Amazon CloudFront to complement their use of containers. Minhui Burket, Senior Software Engineer at Accolade, explains how AWS has enabled Accolade to modernize its services, reduce cost, and improve security.",,,,,,,,https://youtu.be/Jz2RPRhF6Fs,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0023,ACV Auctions,"In this episode we discuss how ACV auctions facilitates the entire automobile auction process in only 20 minutes with a containers-based architecture built on AWS. ACVâ€™s architect walks you through how they leverage Amazon EKS, AWS RDS to manage hundreds of millions request per day, and use Kafka as a data transfer layer for monitoring, analytics and as event bus.",,,,,,,,https://youtu.be/tBavPTWewvI,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0024,adidas,"The largest sportswear manufacturer in Europe and multibillion-dollar brand, adidas and its three-stripe logo are recognized around the globe. Established in 1949, the company is driven by the belief that sports has the power to change lives. Its mission today is to build a digital foundation to increase agility and deliver superior products and experiences to adidas customers. Using Amazon Web Services (AWS), the athletic apparel designer and retailer is accelerating enterprise-wide transformation. It is developing and deploying applications 40-times faster, improving business operations by automating enterprise resource planning (ERP) using AWS for SAP, and making innovation an everyday event for its fitness tracking subsidiary Runtastic.",,,,,,,,https://aws.amazon.com/solutions/case-studies/innovators/adidas/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0025,Affirm,"Affirm is a payment network that empowers consumers and helps merchants drive growth through flexible and transparent financing options. The company wanted to streamline its security operations program to address manual triage, decentralized tooling, and increasing alert fatigue. AWS Partner Expel offered a managed detection and response (MDR) service that integrated seamlessly with Affirmâ€™s Amazon Web Services (AWS) environment. Expel MDRTM centralizes monitoring, automates routine tasks, and enhances detection and response workflows Expel reduced the volume of security alerts fielded by engineers by 50 percent and helped Affirm scale the foundations of its security operations program efficiently.",,,,,,,,https://aws.amazon.com/solutions/case-studies/affirm-expel/,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0026,agriprove,"Using a satellite-based precision agriculture solution built on AWS by EOS Data Analytics Inc., carbon soiltech developer AgriProve increases the efficacy, impact, and reporting of projects.",,,,,,,,https://aws.amazon.com/solutions/case-studies/agriprove-eosda-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0027,Air Canada,Air Canada in the travel industry gained scalability and reliability while optimizing costs by migrating its on-premises VDI to AWS.,,,,,,,,https://aws.amazon.com/solutions/case-studies/appstream2-air-canada/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0028,Air Works,"By using AWS, Air Works has improved the performance of its operations by 84 percent and its response times by 160 percent. Air Works is one of India's largest independent aviation maintenance repair and overhaul companies. The company uses AWS to run all of its operations, including compute, identity and access management, and storage.",,,,,,,,https://aws.amazon.com/solutions/case-studies/AirWorks/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0029,Airbnb,"A year after Airbnb launched, the company decided to migrate nearly all of its cloud computing functions to AWS. As the company has grown, it has adopted almost all of the features AWS provides.",,,,,,,,https://aws.amazon.com/solutions/case-studies/airbnb/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0030,"Airbnb, Inc.","Airbnb enables a multi-tenant, fine-grained Security Access Control to their Kubernetes Control Plane architecture. To locks down the security controls, Airbnb runs Kubernetes on Amazon EC2 and leverages AWS Security Token Service (STS) tokens to inject the IAM role into the cluster. Airbnb further refines the access controls with the IAM role to the PODs for least privileged access. For better observatory, Airbnb audits what roles that the pods have by using Amazon CloudTrail that feeds into Amazon OpenSearch Service for visualizations and insights. As a result, Airbnb has a better security posture and operational efficiency.",,,,,,,,https://youtu.be/WS2Qgx0qgCM,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0031,airtime,"Airtime is a social-media company and mobile app that lets users share their favorite music, videos, and messaging in real time on iOS and Android devices. The company launched on AWS using Amazon EC2, Amazon Route 53, and Amazon S3, then redesigned its platform to run on a microservices architecture using Amazon ECS and Docker containers.",,,,,,,,https://aws.amazon.com/solutions/case-studies/airtime/?trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0032,AJE Group,CPG company AJE Group reduced ETL times by 35 percent by using Amazon Redshift.,,,,,,,,https://aws.amazon.com/solutions/case-studies/aje-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0033,Alcon,Alcon has increased the efficiency of its sales representatives and enhanced the customer experience by modernizing Custom Pak Designer using a serverless approach on AWS.,,,,,,,,https://aws.amazon.com/solutions/case-studies/alcon-serverless-video-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0034,Alert Logic,"Using AWS, Alert Logic gains data protection and geographic redundancy, and reduces the cost of its footprint by more than 50 percent compared to an on-premises data center. Alert Logic is a cloud-security provider based in Houston, Texas.",,,,,,,,https://aws.amazon.com/solutions/case-studies/alert-logic-storage/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0035,Allen Institute,How AWS generative AI tools are helping to unlock the human brain ,Using technology from Amazon Web Services (AWS) to build a Brain Knowledge Platform. Part of this effort will be to use this brain map to create the largest open source database of brain cell data in the world.,,,,,,,https://www.youtube.com/watch?v=B3t0_Wc-Yq0,AWS,"v2, v3",Insufficient detail,Excluded
aicase-x0036,Ally Financial,"As a digital-only bank, Ally prioritizes its resilience to ensure their customers can access their financial services whenever they need them. The data and recommendations from AWS Resilience Hub helped Ally implemented improve its average application resiliency by 28% across 115 critical applications. With AWS Fault Injection Service, Ally goes beyond tabletop exercises to validate predictive analysisâ€”ensuring a highly reliable, fault-tolerant system for its customers.",,,,,,,,https://www.youtube.com/watch?v=V05Hu3IKpGE,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0037,Ally Financial,Ally Financial Expedites Issue Detection and Resolution Using AWS Incident Detection and Response,,,,,,,,https://aws.amazon.com/solutions/case-studies/ally-financial-idr-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0038,Alphalion Technology,"Alphalion Technologyâ€™s SaaS platform, Falcon, meets growing demand for rapid post-trade processing using Amazon EC2 instances for real-time performance and AWS CloudFormation for simplified provisioning. Delivers Next-Gen Post-Trade Processing with SaaS Platform Running on AWS",,,,,,,,https://aws.amazon.com/solutions/case-studies/case-study-alphalion/,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0039,ALTR,software provider ALTR is helping customers keep their data secure with an automated solution built on AWS.,,,,,,,,https://aws.amazon.com/solutions/case-studies/altr-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0040,Altruist,"Using AWS, Altruist maintains system stability and security alongside efficiency-driving tools that financial advisors depend on to deliver better outcomes to more clients at lower costs.",,,,,,,,https://aws.amazon.com/solutions/case-studies/altruist-eks-infographic/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0041,Amanote,"Amanote can onboard new large university customers for its note-taking app in less than 2 minutes, scale to accommodate thousands of new users in a few hours, and handle up to 3 million queries per customer per month. Its app is integrated into learning management systems (LMS) used in higher-education facilities and large enterprises. Amanote needed to ensure that its app could be easily integrated as an LMS plugin, with customization kept to a minimum to assist sales. It built a fully serverless cloud setup, using AWS Lambda to handle queries and deliver multiple app features. Amanote has optimized its costs and can easily deliver its products to customers worldwide with minimal disruption.",,,,,,,,https://aws.amazon.com/solutions/case-studies/amaonote-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0042,Amar Ujala,"Amar Ujala migrated its news website to Amazon CloudFront to boost scalability, ensure high availability, and improve application performance for users.",,,,,,,,https://aws.amazon.com/solutions/case-studies/amar-ujala/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0043,Amazon,"Amazon PXT powers the hiring process for over 1.2 million candidates annually. To meet this massive demand, Amazon Connect helped virtualize the process in just three months, reducing candidate wait times from three hours to 20 minutes. By streamlining operations with Amazon Connect, Amazon PXT has transformed the hiring experience for candidates and recruiters alike.",,,,,,,,https://www.youtube.com/watch?v=jfXHDYUM8WA,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0044,Amazon Web Services,AWS completed one of the largest migrations in its history using AWS Network Firewall.,,,,,,,,https://aws.amazon.com/solutions/case-studies/aws-network-firewall-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0045,Amazon.com,"Amazon.com is the world's largest online retailer. In 2011, Amazon.com switched from tape backup to using cloud-based Amazon S3 for backing up the majority of its Oracle databases. By using AWS, Amazon.com was able to eliminate backup software and experienced a 12X performance improvement, reducing restore time from around 15 hours to 2.5 hours in select scenarios.",,,,,,,,https://aws.amazon.com/solutions/case-studies/amazon/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0046,Ambient digital scribe,"Automatically create transcripts, extract key details, and create summaries from clinician-patient interactions.",,,,,,,,"https://aws.amazon.com/healthscribe/
https://aws.amazon.com/ai/generative-ai/use-cases/",AWS,"v2, v3",Not truly AI,Excluded
aicase-x0047,American Forests,"We are focused on building a reforestation movement in the United States. From cities to large forest landscapes, we want to address two of the most pressing challenges of the day: slowing climate change and advancing social equity.",,,,,,,,https://aws.amazon.com/blog-posts/publicsector/american-forests-uses-the-cloud-to-advance-tree-equity-across-the-united-states/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0048,Anthropic,"Since launching in June 2023, the AWS Generative AI Innovation Center team of strategists, data scientists, machine learning (ML) engineers, and solutions architects have worked with hundreds of customers worldwide, and helped them ideate, prioritize, and build bespoke solutions that harness the power of generative AI.",,,,,,,,https://aws.amazon.com/blogs/machine-learning/introducing-the-aws-generative-ai-innovation-centers-custom-model-program-for-anthropic-claude/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0049,Anzu,Intrinsic in-game advertising company Anzu unlocked better performance at a lower cost by migrating to AWS.,,,,,,,,https://aws.amazon.com/solutions/case-studies/anzu-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0050,Apollo Tyres,"Apollo Tyres migrated its data storage to a hybrid solution using Amazon S3 File Gateway and Amazon S3, reducing backup costs by 90 percent and storing over 160 TB of data at three of its seven facilities.",,,,,,,,https://aws.amazon.com/solutions/case-studies/apollo-tyres-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0051,Apptus,"Swedenâ€™s Apptus migrated to AWS in less than a month, and now provides a reliable, secure ecommerce platform for its retail customers and the shoppers that use their websites. Thanks to AWS, itâ€™s able to quickly scale to meet customersâ€™ changing needs, expand internationally, and innovate for the future.",,,,,,,,https://aws.amazon.com/es/solutions/case-studies/apptus-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0052,AppViewX,"AppViewX paved the way for rapid expansion by simplifying hybrid connectivity with AWS Cloud WAN, accelerating the onboarding of new employees and regions, and improving visibility to reduce errors.",,,,,,,,https://aws.amazon.com/solutions/case-studies/appviewx/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0053,Appway (Numcom Software AG),"Appway leveraged AWS for Financial Institutions to setup their business workflows fast and secure. These sensitive workflows such as client onboarding require resources isolation and strong security policies. With AWS, Appway is able to set-up and manage isolated architecture where every customer has a dedicated AWS account with its own resources like compute and storage for maximum control, and flexibility.",,,,,,,,https://youtu.be/2f_NYiPJQt4,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0054,"AQR Capital Management, LLC","Alan from AQR, a global investment management firm, explains how he and his team created an AWS platform as a service (PaaS), enabling teams to develop their containerized applications on Amazon ECS while providing free security certificates, SSL communication, and Kerberos authentication as side-car security services.",,,,,,,,https://youtu.be/ftIdBG-UgFY,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0055,Arctic Wolf's Network,"Arctic Wolfâ€™s vulnerability management team needed a faster way to investigate security incidents. By leveraging AWS Config and AWS CloudFormation, they built a solution that provides complete resource historyâ€”helping teams assess potential threats in seconds instead of days. With AWS Cloud Governance services like AWS Config, Arctic Wolf automates security workflows, reduces maintenance efforts, and maximizes development efficiencyâ€”empowering teams to respond to threats faster and more effectively.",,,,,,,,https://www.youtube.com/watch?v=_NvOAAe9x40,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0056,Arity,"While reducing monthly infrastructure costs by 30 percent, Arity modernized its mobility data infrastructure to better monitor and analyze the data that it collects.",,,,,,,,https://aws.amazon.com/solutions/case-studies/arity-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0057,Astana International Financial Centre (AIFC),"AIX hosts their stock exchange applications including the Nasdaq Matching Engine in the AWS cloud. AIX runs their workloads across multiple AWS regions and leverages number of data replication techniques. As a result, they are able to switch their workloads to another region in under 5 minutes.",,,,,,,,https://youtu.be/IP03SkGbP-U,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0058,ATAL,"ATAL Engineering Group transformed its data analytics platform using Amazon EMR and Amazon Athena, helping customers reduce energy consumption through new insights. Helps Building Developers Save Up to 15% on Annual Energy Costs with Analytics Platform on AWS",,,,,,,,https://aws.amazon.com/solutions/case-studies/case-study-atal/,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0059,Audi,"AUDI improved its applicationâ€™s reliability, scalability, and cost efficiency using Karpenter.",,,,,,,,https://aws.amazon.com/solutions/case-studies/audi-efficient-compute-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0060,Auros,"Auros transformed the reliability and security of blockchain-based trading with AWS Nitro Enclaves to help drive the adoption of DeFi, creating a more resilient environment for digital asset transactions.",,,,,,,,https://aws.amazon.com/solutions/case-studies/auros/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0061,Autodesk,Autodesk helps the AEC industry realize better business outcomes with accessible data using Amazon DynamoDB.,,,,,,,,https://aws.amazon.com/solutions/case-studies/autodesk-amazon-dynamo-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0062,Automate medical coding,"Automate medical coding of medical claims to reduce timeframe for billing, errors, administrative tasks and to meet regulatory and compliance requirements.",,,,,,,,"https://aws.amazon.com/health/solutions/health-data-portfolio/
https://aws.amazon.com/ai/generative-ai/use-cases/",AWS,"v2, v3",Not truly AI,Excluded
aicase-x0063,"Automatic Data Processing, Inc.","ADP advocates taking a data-driven approach to DEI, particularly in three key areas: assembling and analyzing data to identify target areas and monitor progress; defining a course of action to drive adoption and measurable outcomes; and driving meaningful, scalable change that sticks across the organization.",,,,,,,,https://aws.amazon.com/blogs/enterprise-strategy/diversity-equity-and-inclusion-adp-on-making-dei-a-priority-internally-and-in-its-products/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0064,Automobili Lamborghini,"Automobili Lamborghini S.p.A. manufactures luxury super sports cars in Sant'Agata Bolognese, Italy. When the company's outdated website and infrastructure needed an update, Automobili Lamborghini chose AWS to bring a new website online in less than one month, supporting a new product launch that generated a 250 percent increase in website traffic.",,,,,,,,https://aws.amazon.com/solutions/case-studies/automobili-lamborghini/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0065,Autonomic,"Autonomic's mission is to ""Decode that data, normalize it, and put it in a single format so any user can take advantage of this clean, crisp developer-friendly data all in one place."" To accomplish that mission, Autonomic built its Transportation Mobility Cloud (TMC) on Amazon Web Services (AWS).",,,,,,,,https://aws.amazon.com/solutions/case-studies/autonomic-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0066,Avaloq,"Avaloq, a leading financial technology and services provider for banking and wealth management, built a system to generate full-fledged and highly secure core banking environments (""bank-in-a-box"") in the AWS Cloud. The brain for this system is built on Amazon EKS, which allows Avaloq to focus on activities that generate value for their customers, while AWS does the operational heavy lifting.",,,,,,,,https://youtu.be/XG6mHvi4eNU,AWS,"v2, v3",Not truly AI,Excluded
